,high,low,close,volume,time
0,7330.0,7110.0,7219.5,26910115,2019-12-26
1,7415.0,7150.0,7181.0,26848889,2019-12-27
2,7253.5,7052.5,7248.0,17476927,2019-12-28
3,7362.0,7247.5,7320.0,23187072,2019-12-29
4,7484.0,7289.0,7409.5,30709643,2019-12-30
5,7410.0,7050.0,7205.0,64745779,2019-12-31
6,7286.0,7119.5,7162.0,23876593,2020-01-01
7,7258.5,7137.5,7186.0,33134718,2020-01-02
8,7186.0,6900.5,6956.5,38904581,2020-01-03
9,7410.0,6860.5,7325.0,71316601,2020-01-04
10,7396.0,7241.0,7332.5,34157866,2020-01-05
11,7500.0,7280.5,7341.5,27784351,2020-01-06
12,7805.5,7311.0,7783.5,55438849,2020-01-07
13,8194.5,7751.5,8163.5,95506004,2020-01-08
14,8485.0,7865.0,8038.5,93082806,2020-01-09
15,8128.0,7749.0,7841.0,73076771,2020-01-10
16,8197.5,7700.0,8175.5,62857164,2020-01-11
17,8300.0,8001.0,8042.0,37438478,2020-01-12
18,8218.0,7965.0,8173.5,34547093,2020-01-13
19,8210.5,8049.0,8120.5,23040370,2020-01-14
20,9450.0,8118.5,8809.0,121742097,2020-01-15
21,8935.5,8531.0,8805.5,68802479,2020-01-16
22,8832.0,8545.0,8691.0,44827638,2020-01-17
23,8999.5,8645.0,8874.5,68037336,2020-01-18
24,9250.0,8754.5,8953.5,57006475,2020-01-19
25,9215.5,8300.0,8708.5,104500961,2020-01-20
26,8718.5,8521.5,8628.5,45889030,2020-01-21
27,8831.5,8504.0,8763.5,94250487,2020-01-22
28,8874.0,8240.0,8645.0,60954498,2020-01-23
29,8661.5,8253.0,8389.5,44656365,2020-01-24
30,8500.0,8246.5,8415.0,35398559,2020-01-25
31,8472.0,8260.0,8349.5,26285880,2020-01-26
32,8599.5,8242.0,8592.0,34742238,2020-01-27
33,8900.5,8570.5,8788.0,92158292,2020-01-28
34,9500.0,8760.5,9441.5,54238128,2020-01-29
35,9499.5,8500.5,9150.5,82703625,2020-01-30
36,9430.0,9031.0,9397.0,43924492,2020-01-31
37,9430.0,9050.0,9314.5,31447692,2020-02-01
38,9430.0,9149.5,9352.5,37574575,2020-02-02
39,11000.0,9160.0,9322.0,88436956,2020-02-03
40,9625.0,9180.0,9311.5,55267873,2020-02-04
41,9370.0,9100.5,9136.5,40230277,2020-02-05
42,9699.5,9129.0,9555.5,54017415,2020-02-06
43,9772.0,9394.0,9703.5,43361137,2020-02-07
