[31/Mar/2020 17:34:08] INFO [django.utils.autoreload:598] Watching for file changes with StatReloader
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:286] Waiting for apps ready_event.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:297] Apps ready_event triggered. Sending autoreload_started signal.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/Documents/car/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/Documents/car/home/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/Documents/car/search/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/contrib/forms/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/contrib/redirects/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/embeds/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/sites/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/users/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/snippets/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/documents/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/images/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/search/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/admin/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/wagtail/core/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/modelcluster/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/taggit/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/django/contrib/admin/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/django/contrib/auth/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/django/contrib/contenttypes/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/django/contrib/sessions/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/django/contrib/messages/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/django/contrib/staticfiles/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/Documents/car/carlist/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:252] Watching dir /home/kremer/.local/lib/python3.6/site-packages/captcha/locale with glob **/*.mo.
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/utils/autoreload.py first seen with mtime 1585102509.3431137
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/chardet/charsetgroupprober.py first seen with mtime 1581874246.244753
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/db/migrations/operations/models.py first seen with mtime 1585102509.3191135
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/importlib/__init__.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/lib-dynload/_multiprocessing.cpython-36m-x86_64-linux-gnu.so first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/wagtail/core/urls.py first seen with mtime 1581874243.456921
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/ctypes/_endian.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/chardet/big5prober.py first seen with mtime 1581874246.244753
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/wagtail/core/models.py first seen with mtime 1581874243.4529214
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/contrib/auth/views.py first seen with mtime 1585102509.0631115
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1585102509.0951118
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/requests/_internal_utils.py first seen with mtime 1581874244.712845
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/secrets.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/wagtail/admin/views/userbar.py first seen with mtime 1581874243.6489093
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/core/handlers/__init__.py first seen with mtime 1585102509.2991135
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/db/backends/__init__.py first seen with mtime 1585102509.3071134
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/chardet/langbulgarianmodel.py first seen with mtime 1581874246.2487528
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1585102509.2951133
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /usr/lib/python3.6/shlex.py first seen with mtime 1573123442.0
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/django/contrib/auth/signals.py first seen with mtime 1585102509.0631115
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/urllib3/util/wait.py first seen with mtime 1581874246.1727571
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/wagtail/admin/modal_workflow.py first seen with mtime 1581874243.5209172
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/wagtail/contrib/redirects/permissions.py first seen with mtime 1581874243.7169054
[31/Mar/2020 17:34:08] DEBUG [django.utils.autoreload:349] File /home/kremer/.local/lib/python3.6/site-packages/yaml/representer.py first seen with mtime 1580836758.6252224
